"filename", "language", "JavaScript", "MS SQL", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\routes\timetableRoutes.js", "JavaScript", 9, 0, 0, 0, 0, 7, 16
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\routes\userDataRoutes.js", "JavaScript", 6, 0, 0, 0, 0, 3, 9
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\routes\userRoutes.js", "JavaScript", 19, 0, 0, 0, 0, 18, 37
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\scheduler\finalize.scheduler.js", "JavaScript", 71, 0, 0, 0, 14, 20, 105
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\scheduler\lecture.scheduler.js", "JavaScript", 30, 0, 0, 0, 3, 6, 39
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\scripts\import-check.js", "JavaScript", 9, 0, 0, 0, 1, 1, 11
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\server.js", "JavaScript", 41, 0, 0, 0, 3, 21, 65
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\services\attendance.service.js", "JavaScript", 142, 0, 0, 0, 17, 38, 197
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\teacher-load-test.js", "JavaScript", 222, 0, 0, 0, 45, 48, 315
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\user-load-test.js", "JavaScript", 244, 0, 0, 0, 50, 52, 346
"Total", "-", 4007, 18, 173785, 21730, 613, 1157, 201310
